sku,product_name,type,display_name
AT0001,atovio Pebble- Portable Air Purifier_Moonlight Black,Loose,Pebble: Black
AT0002,atovio Pebble- Portable Air Purifier_Sky blue,Loose,Pebble: Blue
AT0003,atovio Pebble- Portable Air Purifier_Cloud White,Loose,Pebble: White
AT0004,atovio Pebble- Portable Air Purifier_Blush Pink,Loose,Pebble: Pink
AT0005,atovio Pebble- Portable Air Purifier_Lavender Mist,Loose,Pebble: Purple
AT0006,Personalised atovio Pebble- Portable Air Purifier,Loose,Pebble: Custom
AT0020,Round Neck Strap,Loose,Lanyard: Strap
AT0021,Black Metallic Chain,Loose,Lanyard: Metal Blk
AT0022,Silver Metallic Chain,Loose,Lanyard: Metal Sil
AT0100,"Strips (Black, P-10)",Loose,"Strips (Black, P-10)"
AT0101,"Strips (Black, P-20)",Loose,"Strips (Black, P-20)"
AT0102,"Strips (Black, P-30)",Loose,"Strips (Black, P-30)"
AT0103,"Strips (Trans, P-10)",Loose,"Strips (Trans, P-10)"
AT0104,"Strips (Trans, P-20)",Loose,"Strips (Trans, P-20)"
AT0105,"Strips (Trans, P-30)",Loose,"Strips (Trans, P-30)"
AT0150,"Mask (Black, P-1)",Loose,"Mask (Black, P-1)"
AT0151,"Mask (Black, p-2)",Loose,"Mask (Black, p-2)"
AT0200,Filter (Pack of 10),Loose,Filter (Pack of 10)
AT0250,Kit,Loose,Kit
AT0251,Kit Black,Loose,Kit Black
AT0252,Kit Blue,Loose,Kit Blue
AT0253,Kit White,Loose,Kit White
AT0254,Kit Pink,Loose,Kit Pink
AT0255,Kit Purple,Loose,Kit Purple
